category,source,title,abstract,url
Thời sự,vnexpress.net,Phó tổng Thanh tra Chính phủ Dương Quốc Huy làm Bí thư Lào Cai,"Ông Dương Quốc Huy, Phó tổng Thanh tra Chính phủ, được Bộ Chính trị điều động, chỉ định giữ chức Bí thư Tỉnh ủy Lào Cai.",https://vnexpress.net/pho-tong-thanh-tra-chinh-phu-duong-quoc-huy-lam-bi-thu-lao-cai-5044916.html#box_comment_vne
Thời sự,vnexpress.net,Phó tổng Thanh tra Chính phủ Dương Quốc Huy làm Bí thư Lào Cai,"Ông Dương Quốc Huy, Phó tổng Thanh tra Chính phủ, được Bộ Chính trị điều động, chỉ định giữ chức Bí thư Tỉnh ủy Lào Cai.",https://vnexpress.net/pho-tong-thanh-tra-chinh-phu-duong-quoc-huy-lam-bi-thu-lao-cai-5044916.html
Thời sự,vnexpress.net,Metro Bến Thành - Thủ Thiêm sẽ khởi công tháng 4/2026 giúp kết nối Long Thành,"TP HCM vận dụng tối đa chính sách đặc thù để khởi công metro Bến Thành - Thủ Thiêm trước 20/4, là mắt xích giúp kết nối thành phố với sân bay Long Thành khi khai thác.",https://vnexpress.net/metro-ben-thanh-thu-thiem-se-khoi-cong-thang-4-2026-giup-ket-noi-long-thanh-5044979.html
Thời sự,vnexpress.net,Bí thư Lào Cai làm Thứ trưởng Nông nghiệp và Môi trường,"Ông Trịnh Việt Hùng, Bí thư Tỉnh ủy Lào Cai, được Thủ tướng tiếp nhận, bổ nhiệm giữ chức Thứ trưởng Thường trực Bộ Nông nghiệp và Môi trường.",https://vnexpress.net/bi-thu-lao-cai-lam-thu-truong-nong-nghiep-va-moi-truong-5044958.html
Thời sự,vnexpress.net,Miền Bắc hửng nắng trước khi đón không khí lạnh,"Miền Bắc hai ngày tới duy trì tình trạng hửng nắng, cao nhất ngày lên 28-33 độ C, sau đó đón không khí lạnh vào giữa tuần.",https://vnexpress.net/mien-bac-hung-nang-truoc-khi-don-khong-khi-lanh-5044899.html
Thời sự,vnexpress.net,Bí thư Lào Cai làm Thứ trưởng Nông nghiệp và Môi trường,"Ông Trịnh Việt Hùng, Bí thư Tỉnh ủy Lào Cai, được Thủ tướng tiếp nhận, bổ nhiệm giữ chức Thứ trưởng Thường trực Bộ Nông nghiệp và Môi trường.",https://vnexpress.net/bi-thu-lao-cai-lam-thu-truong-nong-nghiep-va-moi-truong-5044958.html#box_comment_vne
Thời sự,vnexpress.net,Miền Bắc hửng nắng trước khi đón không khí lạnh,"Miền Bắc hai ngày tới duy trì tình trạng hửng nắng, cao nhất ngày lên 28-33 độ C, sau đó đón không khí lạnh vào giữa tuần.",https://vnexpress.net/mien-bac-hung-nang-truoc-khi-don-khong-khi-lanh-5044899.html#box_comment_vne
Thời sự,vnexpress.net,Đề xuất chi 38.500 tỷ đồng hồi sinh hệ thống kênh Bắc Hưng Hải,"Bắc Hưng Hải, hệ thống kênh đào hơn 200 km nối bốn tỉnh thành miền bắc, được đề xuất đầu tư để giảm ô nhiễm, xây dựng hệ thống đô thị sinh thái dọc kênh.",https://vnexpress.net/de-xuat-chi-38-500-ty-dong-hoi-sinh-he-thong-kenh-bac-hung-hai-5044869.html
Thời sự,vnexpress.net,Chủ tịch VNG Lê Hồng Minh ứng cử đại biểu HĐND TP HCM,"Chủ tịch VNG Lê Hồng Minh là một trong 18 lãnh đạo doanh nghiệp, tập đoàn và tổ chức kinh tế ứng cử đại biểu HĐND TP HCM nhiệm kỳ 2026-2031.",https://vnexpress.net/chu-tich-vng-le-hong-minh-ung-cu-dai-bieu-hdnd-tp-hcm-5044942.html
Thời sự,vnexpress.net,TP HCM khởi công trung tâm hành chính mới vào quý 2,"Thành phố dự kiến sẽ khởi công Trung tâm chính trị, hành chính tại Khu đô thị mới Thủ Thiêm vào quý 2 năm nay.",https://vnexpress.net/tp-hcm-khoi-cong-trung-tam-hanh-chinh-moi-vao-quy-2-5044862.html
